Date,Open,High,Low,Close,Adj Close,Volume
2021-03-24,9.800000,9.900000,9.700000,9.750000,9.750000,3379444
2021-03-25,9.750000,9.800000,9.000000,9.250000,9.250000,8499514
2021-03-26,9.400000,9.600000,9.200000,9.400000,9.400000,27614863
2021-03-30,9.600000,9.650000,9.250000,9.350000,9.350000,7664796
2021-03-31,9.350000,9.400000,9.150000,9.250000,9.250000,10433130
2021-04-01,9.250000,10.900000,9.250000,10.300000,10.300000,27526503
2021-04-05,10.300000,10.350000,9.800000,10.050000,10.050000,4928248
2021-04-06,10.050000,10.450000,9.950000,10.050000,10.050000,5802854
2021-04-07,10.200000,10.500000,10.100000,10.200000,10.200000,6273265
2021-04-08,10.300000,10.400000,10.050000,10.100000,10.100000,3564547
2021-04-09,10.100000,10.100000,9.800000,9.900000,9.900000,3574563
2021-04-12,9.650000,9.850000,9.000000,9.250000,9.250000,5999157
2021-04-13,9.300000,9.500000,9.200000,9.300000,9.300000,2530808
2021-04-15,9.200000,9.350000,9.100000,9.200000,9.200000,2117204
2021-04-16,9.200000,9.300000,9.150000,9.200000,9.200000,1414489
2021-04-19,9.050000,9.150000,8.800000,8.900000,8.900000,4143022
2021-04-20,8.950000,9.100000,8.700000,8.800000,8.800000,5583570
2021-04-22,9.000000,9.650000,8.700000,9.400000,9.400000,9434213
2021-04-23,9.500000,9.650000,9.300000,9.400000,9.400000,5401173
2021-04-26,9.450000,9.700000,9.350000,9.400000,9.400000,2482670
2021-04-27,9.350000,9.650000,9.350000,9.550000,9.550000,4346463
2021-04-28,9.650000,9.900000,9.300000,9.350000,9.350000,8647480
2021-04-29,9.450000,9.600000,9.250000,9.300000,9.300000,2821563
2021-04-30,9.300000,9.400000,9.200000,9.250000,9.250000,2524431
2021-05-03,9.250000,10.600000,8.850000,10.000000,10.000000,12360217
2021-05-04,10.100000,12.000000,9.800000,11.850000,11.850000,106331581
2021-05-05,12.000000,12.550000,11.450000,11.650000,11.650000,31572095
2021-05-06,11.700000,12.100000,11.550000,11.800000,11.800000,16600349
2021-05-07,11.950000,12.350000,11.650000,11.850000,11.850000,25050610
2021-05-10,12.000000,13.500000,11.700000,13.250000,13.250000,41792852
2021-05-11,12.800000,13.800000,12.800000,13.350000,13.350000,25119618
2021-05-12,13.500000,13.900000,13.000000,13.200000,13.200000,22244080
2021-05-14,13.350000,13.500000,11.900000,12.300000,12.300000,13779882
2021-05-17,12.450000,13.000000,12.150000,12.650000,12.650000,9657924
2021-05-18,12.900000,13.150000,12.750000,12.900000,12.900000,8470242
2021-05-19,12.800000,13.000000,12.450000,12.550000,12.550000,6837218
2021-05-20,12.550000,12.850000,12.350000,12.550000,12.550000,6219029
2021-05-21,12.650000,13.600000,12.650000,12.800000,12.800000,29118573
2021-05-24,12.900000,13.050000,12.550000,12.850000,12.850000,11497190
2021-05-25,12.950000,15.400000,12.850000,15.400000,15.400000,133998540
2021-05-26,17.000000,17.700001,16.299999,17.000000,17.000000,117374918
2021-05-27,16.500000,16.750000,15.350000,15.550000,15.550000,27641406
2021-05-28,15.700000,17.650000,14.800000,15.900000,15.900000,65185354
2021-05-31,15.900000,16.150000,14.400000,14.700000,14.700000,32242697
2021-06-01,14.950000,16.150000,14.650000,15.450000,15.450000,30072488
2021-06-02,15.500000,15.850000,14.950000,15.150000,15.150000,18245187
2021-06-03,15.350000,15.500000,15.150000,15.250000,15.250000,10587501
2021-06-04,15.300000,16.299999,15.000000,15.950000,15.950000,25294891
2021-06-07,16.000000,16.250000,15.800000,15.850000,15.850000,13688254
2021-06-08,16.000000,16.100000,15.300000,15.450000,15.450000,8132860
2021-06-09,15.500000,15.700000,14.500000,14.850000,14.850000,16346158
2021-06-10,14.950000,16.250000,14.950000,15.650000,15.650000,26335013
2021-06-11,15.850000,16.000000,15.350000,15.500000,15.500000,7983341
2021-06-14,15.450000,15.450000,14.350000,15.100000,15.100000,10382927
2021-06-15,15.300000,16.000000,15.100000,15.550000,15.550000,13886817
2021-06-16,15.500000,16.000000,15.150000,15.250000,15.250000,13989276
2021-06-17,15.100000,15.600000,14.800000,15.000000,15.000000,9831905
2021-06-18,15.150000,15.200000,13.700000,14.800000,14.800000,14931431
2021-06-21,14.800000,15.500000,14.400000,15.000000,15.000000,12542310
2021-06-22,15.400000,15.400000,14.600000,14.700000,14.700000,18268899
2021-06-23,14.900000,14.900000,14.300000,14.400000,14.400000,8166243
2021-06-24,14.450000,14.600000,13.850000,13.950000,13.950000,9484376
2021-06-25,14.100000,14.350000,13.750000,14.150000,14.150000,7577628
2021-06-28,14.350000,14.500000,13.950000,14.350000,14.350000,8635014
2021-06-29,14.350000,14.500000,13.900000,13.950000,13.950000,7331240
2021-06-30,14.200000,14.350000,13.850000,13.900000,13.900000,8510829
2021-07-01,13.350000,14.150000,12.900000,13.700000,13.700000,17841459
